2019-11-09 10:01:25 164| INFO|ContextLoader.java.initWebApplicationContext:304|Root WebApplicationContext: initialization started
2019-11-09 10:01:25 221| INFO|AbstractApplicationContext.java.prepareRefresh:582|Refreshing Root WebApplicationContext: startup date [Sat Nov 09 10:01:25 CST 2019]; root of context hierarchy
2019-11-09 10:01:25 262| INFO|XmlBeanDefinitionReader.java.loadBeanDefinitions:317|Loading XML bean definitions from class path resource [spring-mvc.xml]
2019-11-09 10:01:25 735| INFO|XmlBeanDefinitionReader.java.loadBeanDefinitions:317|Loading XML bean definitions from class path resource [spring-jdbc.xml]
2019-11-09 10:01:26 075| INFO|XmlBeanDefinitionReader.java.loadBeanDefinitions:317|Loading XML bean definitions from URL [jar:file:/C:/Users/Administrator/.m2/repository/com/platform/platform-common/1.0.0/platform-common-1.0.0.jar!/platform-common.xml]
2019-11-09 10:01:26 082| INFO|XmlBeanDefinitionReader.java.loadBeanDefinitions:317|Loading XML bean definitions from URL [jar:file:/C:/Users/Administrator/.m2/repository/com/platform/platform-common/1.0.0/platform-common-1.0.0.jar!/platform-shiro.xml]
2019-11-09 10:01:26 090| INFO|XmlBeanDefinitionReader.java.loadBeanDefinitions:317|Loading XML bean definitions from URL [jar:file:/C:/Users/Administrator/.m2/repository/com/platform/platform-schedule/1.0.0/platform-schedule-1.0.0.jar!/platform-scheduler.xml]
2019-11-09 10:01:26 097| INFO|XmlBeanDefinitionReader.java.loadBeanDefinitions:317|Loading XML bean definitions from URL [jar:file:/C:/Users/Administrator/.m2/repository/com/platform/platform-api/1.0.0/platform-api-1.0.0.jar!/platform-api.xml]
2019-11-09 10:01:26 111| INFO|DefaultListableBeanFactory.java.registerBeanDefinition:828|Overriding bean definition for bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping' with a different definition: replacing [Root bean: class [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2019-11-09 10:01:26 113| INFO|DefaultListableBeanFactory.java.registerBeanDefinition:828|Overriding bean definition for bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter' with a different definition: replacing [Root bean: class [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2019-11-09 10:01:26 114| INFO|DefaultListableBeanFactory.java.registerBeanDefinition:828|Overriding bean definition for bean 'mvcUriComponentsContributor' with a different definition: replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
